Observation,Action
"0.048616312,1.4095566,0.01782379,-0.39686435,0.19097862,0.14675806,0.0,0.0",1
"0.04879265,1.4000345,0.008439106,-0.4244155,0.20022501,0.18492778,0.0,0.0",1
"0.048901845,1.3899006,5.3813616e-05,-0.4519137,0.21117935,0.21908657,0.0,0.0",1
"0.049010754,1.3791678,5.6878278e-05,-0.4785902,0.22213359,0.21908478,0.0,0.0",0
"0.049119473,1.3678367,6.0105707e-05,-0.5052667,0.23308775,0.21908292,0.0,0.0",0
"0.049137972,1.3558787,-0.011232156,-0.5336023,0.24638753,0.26599547,0.0,0.0",1
"0.04908228,1.3432969,-0.020536732,-0.561772,0.26163244,0.30489835,0.0,0.0",1
"0.048859216,1.3310997,-0.037237156,-0.5448338,0.27691555,0.30566218,0.0,0.0",2
"0.048498917,1.3196254,-0.051385395,-0.5129629,0.2927034,0.31575653,0.0,0.0",2
"0.048138045,1.307554,-0.051376622,-0.5396496,0.30849093,0.31575114,0.0,0.0",0
"0.047835063,1.2949246,-0.043910723,-0.56426543,0.32261753,0.2825328,0.0,0.0",3
"0.04725218,1.2822398,-0.07116562,-0.566699,0.33604893,0.26862815,0.0,0.0",2
"0.046373844,1.2700887,-0.10051999,-0.5430573,0.3493432,0.26588613,0.0,0.0",2
"0.04557371,1.2573894,-0.09052678,-0.56699884,0.36040398,0.22121468,0.0,0.0",3
"0.044862367,1.2441375,-0.07927593,-0.59104115,0.3690064,0.17204805,0.0,0.0",3
"0.04406748,1.2302455,-0.08975701,-0.6201137,0.37989396,0.21775158,0.0,0.0",1
"0.043339252,1.2157912,-0.081297226,-0.6446964,0.3889159,0.18043871,0.0,0.0",3
"0.042610835,1.200738,-0.0812934,-0.6713694,0.39793777,0.1804377,0.0,0.0",0
"0.0418046,1.1850486,-0.09100776,-0.70025676,0.40907764,0.2227978,0.0,0.0",1
"0.04082899,1.1696604,-0.10824269,-0.68704623,0.42060497,0.23054664,0.0,0.0",2
"0.039697457,1.1547796,-0.12446123,-0.6648004,0.43286788,0.24525794,0.0,0.0",2
"0.03856535,1.1393002,-0.12445341,-0.6914785,0.44513065,0.24525543,0.0,0.0",0
"0.037521742,1.1232828,-0.11320381,-0.71472865,0.45480388,0.19346449,0.0,0.0",3
"0.036251258,1.107922,-0.13651374,-0.6858266,0.46523818,0.208686,0.0,0.0",2
"0.034980394,1.0919625,-0.13650768,-0.71250147,0.4756724,0.20868437,0.0,0.0",0
"0.033764552,1.0754505,-0.12943375,-0.7365834,0.48439956,0.17454322,0.0,0.0",3
"0.03248491,1.0582919,-0.13747631,-0.7659713,0.49503046,0.21261796,0.0,0.0",1
"0.03127594,1.0405788,-0.1285471,-0.7900312,0.50362,0.17179129,0.0,0.0",3
"0.030125331,1.0223238,-0.12097578,-0.81352407,0.5103024,0.13364813,0.0,0.0",3
"0.0290411,1.0035238,-0.112512685,-0.837088,0.51493335,0.092617236,0.0,0.0",3
"0.027813435,0.98496866,-0.12746784,-0.8264555,0.52027,0.10673286,0.0,0.0",2
"0.026585579,0.9658138,-0.12746608,-0.8531243,0.52560663,0.106732704,0.0,0.0",0
"0.02543373,0.94613945,-0.11762969,-0.87537223,0.52840126,0.055892073,0.0,0.0",3
"0.024111748,0.92666775,-0.13514945,-0.8665539,0.53176415,0.06725778,0.0,0.0",2
"0.022789573,0.90659624,-0.13514873,-0.89322144,0.53512704,0.06725781,0.0,0.0",0
"0.021538068,0.8859923,-0.12608518,-0.91609997,0.5361987,0.021432593,0.0,0.0",3
"0.02028656,0.8647884,-0.1260851,-0.9427667,0.5372703,0.021432929,0.0,0.0",0
"0.019035053,0.84298456,-0.12608503,-0.9694335,0.53834194,0.021432685,0.0,0.0",0
"0.017862702,0.8206415,-0.11606938,-0.99256015,0.5370062,-0.026714751,0.0,0.0",3
"0.016773606,0.7977645,-0.10551991,-1.0154176,0.5331193,-0.07773726,0.0,0.0",3
"0.01568451,0.77428764,-0.10551895,-1.0420853,0.52923244,-0.07773714,0.0,0.0",0
"0.014595318,0.7502112,-0.10551798,-1.0687529,0.52534556,-0.077737115,0.0,0.0",0
"0.013506031,0.72553456,-0.10551703,-1.0954207,0.5214587,-0.07773729,0.0,0.0",0
"0.012416745,0.70025826,-0.105516076,-1.1220883,0.5175718,-0.07773726,0.0,0.0",0
"0.011327362,0.67438215,-0.10551514,-1.148756,0.513685,-0.07773624,0.0,0.0",0
"0.01017561,0.64786524,-0.113334954,-1.1778371,0.51160985,-0.041502513,0.0,0.0",1
"0.008965778,0.62070507,-0.1206968,-1.2070154,0.5112846,-0.0065055676,0.0,0.0",1
"0.0074764253,0.59335893,-0.14820895,-1.215107,0.51045656,-0.016560022,0.0,0.0",2
"0.006058216,0.5654624,-0.13921767,-1.2388797,0.50752366,-0.058657713,0.0,0.0",3
"0.0046401024,0.53696597,-0.13921715,-1.2655469,0.50459075,-0.05865764,0.0,0.0",0
"0.0032218932,0.5078697,-0.13921663,-1.2922142,0.50165784,-0.05865764,0.0,0.0",0
"0.0018596649,0.47822616,-0.13201597,-1.3159612,0.49692997,-0.094557524,0.0,0.0",3
"0.0004377365,0.44792798,-0.1396635,-1.3456753,0.4940974,-0.056651104,0.0,0.0",1
"-0.000915432,0.41709882,-0.1307852,-1.3685682,0.4890229,-0.101489745,0.0,0.0",3
"-0.0023301125,0.3856086,-0.1387159,-1.3985933,0.48594686,-0.061520837,0.0,0.0",1
"-0.003744793,0.35351852,-0.13871534,-1.4252605,0.4828708,-0.0615213,0.0,0.0",0
"-0.005103302,0.32087854,-0.13150346,-1.4491531,0.47802874,-0.096840926,0.0,0.0",3
"-0.0067546843,0.28811026,-0.16029403,-1.4547073,0.47265324,-0.107510254,0.0,0.0",2
"-0.00848074,0.25469792,-0.1696795,-1.4839958,0.4694017,-0.06503071,0.0,0.0",1
"-0.010274028,0.22064224,-0.17814782,-1.5131842,0.4680933,-0.026167726,0.0,0.0",1
"-0.012010479,0.1860318,-0.17090122,-1.5373214,0.46505857,-0.060694594,0.0,0.0",3
"-0.013687516,0.15087849,-0.16321754,-1.5608821,0.46012184,-0.09873437,0.0,0.0",3
"-0.015364456,0.1151255,-0.16321619,-1.5875504,0.45518512,-0.098734334,0.0,0.0",0
"-0.016956996,0.07883907,-0.1524229,-1.6105187,0.44769257,-0.14985085,0.0,0.0",3
"-0.01861744,0.041895043,-0.16110033,-1.6403879,0.44229048,-0.10804182,0.0,1.0",1
"-0.019879723,0.0059263324,-0.10109812,-1.5908073,0.42004332,-0.43849802,0.0,1.0",3
"-0.022243977,-0.021457734,-0.010557753,-0.69054776,0.26909363,-5.706094,0.0,1.0",2
"-0.00074138644,1.3958673,-0.031186676,-0.3472167,-0.0011700847,-0.033107366,0.0,0.0",3
"-0.0011362076,1.3886632,-0.037481565,-0.32018626,-0.0031470612,-0.039543085,0.0,0.0",2
"-0.0015102386,1.3822088,-0.035482757,-0.28686517,-0.0050377026,-0.037816525,0.0,0.0",2
"-0.0019578934,1.3751533,-0.044723205,-0.3135824,-0.0050743287,-0.00073269836,0.0,0.0",1
"-0.002326393,1.3674937,-0.034791607,-0.34042868,-0.0071034967,-0.04058718,0.0,0.0",3
"-0.0025473596,1.3605299,-0.020730749,-0.30951977,-0.0084571615,-0.027075946,0.0,0.0",2
"-0.0026893616,1.3529748,-0.01082777,-0.33580145,-0.011794925,-0.06676149,0.0,0.0",3
"-0.002831173,1.34482,-0.010817448,-0.36246547,-0.0151310945,-0.066729076,0.0,0.0",0
"-0.00288105,1.336059,0.0007355057,-0.38945064,-0.020782748,-0.11304337,0.0,0.0",3
"-0.0030244826,1.3267007,-0.011028978,-0.41596457,-0.02407017,-0.06575431,0.0,0.0",1
"-0.0032334328,1.3167348,-0.019231532,-0.44296265,-0.025716154,-0.03292266,0.0,0.0",1
"-0.003372383,1.3061552,-0.010442027,-0.47026008,-0.029128412,-0.068251565,0.0,0.0",3
"-0.0036029816,1.2949758,-0.02194627,-0.49688417,-0.030231789,-0.02206915,0.0,0.0",1
"-0.0039029121,1.283195,-0.030644914,-0.52357775,-0.029593643,0.012764342,0.0,0.0",1
"-0.004072952,1.2713485,-0.0182135,-0.52649194,-0.028394198,0.023991171,0.0,0.0",2
"-0.0042429925,1.2589017,-0.018217316,-0.5531645,-0.027195042,0.02398549,0.0,0.0",0
"-0.0044881823,1.2458498,-0.0276387,-0.58003294,-0.024111453,0.06167739,0.0,0.0",1
"-0.0047335625,1.232198,-0.027648136,-0.60670215,-0.02102911,0.06165243,0.0,0.0",0
"-0.004776859,1.2194697,-0.008296749,-0.5656516,-0.017102279,0.078543544,0.0,0.0",2
"-0.0047485353,1.206146,0.00067478186,-0.59214306,-0.014975098,0.042547617,0.0,0.0",3
"-0.0046330453,1.192225,0.011608791,-0.6187135,-0.015037877,-0.0012559397,0.0,0.0",3
"-0.004591179,1.1777029,0.0023859104,-0.64541066,-0.013252844,0.035703883,0.0,0.0",1
"-0.0045492174,1.1625808,0.0023800768,-0.6720798,-0.011469286,0.035674535,0.0,0.0",0
"-0.0046217917,1.1479356,-0.008484989,-0.65088385,-0.010253789,0.024312157,0.0,0.0",2
"-0.0045671463,1.1333655,0.003657595,-0.64755714,-0.0084710205,0.03565542,0.0,0.0",2
"-0.0045124055,1.1181952,0.0036575932,-0.674224,-0.0066882744,0.035655215,0.0,0.0",0
"-0.0045175552,1.1024338,-0.0038337596,-0.7004928,-0.0034042685,0.06567993,0.0,0.0",1
"-0.0046037673,1.0860646,-0.014022073,-0.7275227,0.0019195873,0.106477335,0.0,0.0",1
"-0.004690075,1.0690957,-0.0140220765,-0.75419164,0.0072434354,0.1064771,0.0,0.0",0
"-0.0048581124,1.0515326,-0.024282994,-0.78063565,0.014621516,0.1475615,0.0,0.0",1
"-0.005119133,1.0333679,-0.035944756,-0.8074535,0.02433559,0.19428143,0.0,0.0",1
"-0.005443096,1.0145946,-0.04383809,-0.83459944,0.035634294,0.22597413,0.0,0.0",1
"-0.0056982995,0.9952153,-0.035213854,-0.86156183,0.045210835,0.19153099,0.0,0.0",3
"-0.0058747292,0.9752373,-0.025327489,-0.8881618,0.052808307,0.15194932,0.0,0.0",3
"-0.0061305044,0.9546561,-0.035283536,-0.915091,0.06240203,0.19187412,0.0,0.0",1
"-0.006475067,0.93345827,-0.046421908,-0.9426776,0.07424364,0.23683226,0.0,0.0",1
"-0.0067358017,0.91167957,-0.03587782,-0.9684626,0.08395449,0.194217,0.0,0.0",3
"-0.0069966316,0.88930196,-0.03587689,-0.99513704,0.09366528,0.19421574,0.0,0.0",0
"-0.0071964264,0.8663405,-0.028213087,-1.0210477,0.10182108,0.16311638,0.0,0.0",3
"-0.007473278,0.8427651,-0.037874047,-1.0485224,0.1119326,0.20223045,0.0,0.0",1
"-0.007657814,0.8186025,-0.0262759,-1.0745033,0.11970699,0.15548791,0.0,0.0",3
"-0.0077532767,0.7938559,-0.015088068,-1.1002967,0.1252174,0.11020827,0.0,0.0",3
"-0.0077709197,0.7685332,-0.0052816696,-1.1257615,0.12872246,0.070101194,0.0,0.0",3
"-0.0077885627,0.7426104,-0.0052814744,-1.1524292,0.13222753,0.0701012,0.0,0.0",0
"-0.0078062057,0.7160879,-0.005281274,-1.1790968,0.13573258,0.07010113,0.0,0.0",0
"-0.007900906,0.68894976,-0.014965648,-1.2066474,0.14120442,0.109436974,0.0,0.0",1
"-0.0079957,0.661212,-0.014965129,-1.2333164,0.14667624,0.10943679,0.0,0.0",0
"-0.008090496,0.6328747,-0.01496459,-1.2599854,0.15214807,0.109436594,0.0,0.0",0
"-0.008268928,0.60391086,-0.025492916,-1.2880819,0.15978594,0.15275735,0.0,0.0",1
"-0.0085433,0.5743174,-0.037547283,-1.3163848,0.16990548,0.20239091,0.0,0.0",1
"-0.009005165,0.5455957,-0.056192257,-1.2776932,0.17993763,0.20064278,0.0,0.0",2
"-0.0095328335,0.51711816,-0.06292732,-1.266932,0.19013572,0.20396204,0.0,0.0",2
"-0.010207176,0.48854142,-0.07720061,-1.2713616,0.19995946,0.19647507,0.0,0.0",2
"-0.01088171,0.45936584,-0.07719826,-1.2980361,0.20978317,0.19647378,0.0,0.0",0
"-0.011630821,0.4295801,-0.086486615,-1.3254994,0.22148849,0.23410651,0.0,0.0",1
"-0.012380028,0.39919618,-0.086482935,-1.3521773,0.2331937,0.23410432,0.0,0.0",0
"-0.013129616,0.368214,-0.08647906,-1.3788551,0.24489881,0.23410213,0.0,0.0",0
"-0.013793945,0.33667684,-0.07565915,-1.4032174,0.25429004,0.18782458,0.0,0.0",3
"-0.014458465,0.30454075,-0.07565641,-1.4298913,0.2636812,0.18782343,0.0,0.0",0
"-0.015202713,0.27177975,-0.085628636,-1.4581017,0.2751521,0.22941816,0.0,0.0",1
