Observation,Action
"[ 0.09958992  1.3423442   0.34097078 -0.33312255 -0.26805916 -0.22431338
  0.          0.        ]",3
"[ 0.10289021  1.3342946   0.34096664 -0.3597994  -0.27927473 -0.22431143
  0.          0.        ]",0
"[ 0.10611019  1.3256798   0.3308211  -0.3845975  -0.2883423  -0.18135141
  0.          0.        ]",1
"[ 0.10933027  1.316466    0.3308182  -0.4112708  -0.2974098  -0.18135038
  0.          0.        ]",0
"[ 0.11258364  1.3075835   0.3347734  -0.39674345 -0.30717233 -0.1952503
  0.          0.        ]",2
"[ 0.11577759  1.2981206   0.32730153 -0.4222693  -0.3153782  -0.16411713
  0.          0.        ]",1
"[ 0.11897163  1.2880588   0.32729894 -0.44894135 -0.32358402 -0.16411634
  0.          0.        ]",0
"[ 0.12216587  1.2773974   0.3272963  -0.4756134  -0.3317898  -0.16411558
  0.          0.        ]",0
"[ 0.12529545  1.2661777   0.31906357 -0.50007784 -0.33816534 -0.12751156
  0.          0.        ]",1
"[ 0.12856703  1.2553387   0.33361518 -0.4832581  -0.34492463 -0.13518566
  0.          0.        ]",2
"[ 0.13192539  1.2438436   0.34462848 -0.5130282  -0.3541562  -0.18463154
  0.          0.        ]",3
"[ 0.13528404  1.2317497   0.34462482 -0.5397016  -0.3633877  -0.18463047
  0.          0.        ]",0
"[ 0.13871822  1.2190088   0.35416704 -0.5690185  -0.3747612  -0.22746997
  0.          0.        ]",3
"[ 0.14215279  1.2056696   0.3541612  -0.59569526 -0.3861346  -0.22746797
  0.          0.        ]",0
"[ 0.14567032  1.1916891   0.36452845 -0.6248835  -0.3997895  -0.27309823
  0.          0.        ]",3
"[ 0.14918852  1.1771108   0.36451945 -0.65156454 -0.41344425 -0.2730947
  0.          0.        ]",0
"[ 0.15270738  1.1619349   0.36451015 -0.6782455  -0.4270988  -0.27309117
  0.          0.        ]",0
"[ 0.15622692  1.1461611   0.36450058 -0.7049264  -0.4407532  -0.27308768
  0.          0.        ]",0
"[ 0.15990667  1.1303046   0.38045517 -0.70871806 -0.45441735 -0.27328295
  0.          0.        ]",2
"[ 0.16350298  1.1139071   0.36980435 -0.7321369  -0.46562588 -0.22417049
  0.          0.        ]",1
"[ 0.16702977  1.0969527   0.36101684 -0.75634885 -0.47484547 -0.18439189
  0.          0.        ]",1
"[ 0.17055693  1.0793993   0.361012   -0.7830218  -0.484065   -0.18439083
  0.          0.        ]",0
"[ 0.17401066  1.0613072   0.3515926  -0.8062961  -0.4910181  -0.13906243
  0.          0.        ]",1
"[ 0.17751761  1.0425756   0.35833535 -0.83526015 -0.499571   -0.17105816
  0.          0.        ]",3
"[ 0.18102503  1.023245    0.35833097 -0.8619322  -0.5081239  -0.17105731
  0.          0.        ]",0
"[ 0.184589    1.0032759   0.36542302 -0.89089096 -0.5183384  -0.20428975
  0.          0.        ]",3
"[ 0.18808527  0.9827661   0.3567268  -0.9142774  -0.5264258  -0.16174833
  0.          0.        ]",1
"[ 0.19158182  0.96165705  0.35672268 -0.94094867 -0.5345132  -0.16174766
  0.          0.        ]",0
"[ 0.19535227  0.94089204  0.38442057 -0.925829   -0.5429931  -0.16959898
  0.          0.        ]",2
"[ 0.1994298   0.92026865  0.4150684  -0.919567   -0.5514379  -0.16889521
  0.          0.        ]",2
"[ 0.20355758  0.8989982   0.42145848 -0.94893825 -0.56150776 -0.20139727
  0.          0.        ]",3
"[ 0.20776805  0.8770615   0.43181914 -0.97954553 -0.5741257  -0.2523603
  0.          0.        ]",3
"[ 0.2119792   0.85452646  0.43180838 -1.0062234  -0.5867436  -0.25235757
  0.          0.        ]",0
"[ 0.21625796  0.8313157   0.44044843 -1.0372413  -0.6017121  -0.29937017
  0.          0.        ]",3
"[ 0.22053786  0.80750746  0.44043264 -1.0639235  -0.6166804  -0.29936555
  0.          0.        ]",0
"[ 0.2248931   0.7830301   0.44983616 -1.0947584  -0.6340943  -0.34827796
  0.          0.        ]",3
"[ 0.22919646  0.7580026   0.4430905  -1.118673   -0.6498031  -0.31417587
  0.          0.        ]",1
"[ 0.23342237  0.7324588   0.43305176 -1.1406443  -0.6628374  -0.26068613
  0.          0.        ]",1
"[ 0.2375845   0.7063934   0.42474008 -1.1629283  -0.67354023 -0.21405737
  0.          0.        ]",1
"[ 0.2418209   0.67965233  0.43404183 -1.1941024  -0.6867602  -0.26439905
  0.          0.        ]",3
"[ 0.2461297   0.65221995  0.44328398 -1.2260945  -0.7026861  -0.31851777
  0.          0.        ]",3
"[ 0.25044003  0.6241903   0.44326353 -1.2527772  -0.71861166 -0.3185122
  0.          0.        ]",0
"[ 0.25482017  0.5954664   0.45211434 -1.2849816  -0.7372474  -0.37271544
  0.          0.        ]",3
"[ 0.2592024   0.56614584  0.45208535 -1.31167    -0.75588274 -0.37270647
  0.          0.        ]",0
"[ 0.26365596  0.53612953  0.46101627 -1.3440851  -0.77730703 -0.42848593
  0.          0.        ]",3
"[ 0.26811257  0.5055176   0.4609763  -1.3707794  -0.7987306  -0.42847237
  0.          0.        ]",0
"[ 0.27257204  0.47430983  0.4609354  -1.3974732  -0.8201535  -0.42845884
  0.          0.        ]",0
"[ 0.27703437  0.44250634  0.4608937  -1.4241664  -0.8415757  -0.42844534
  0.          0.        ]",0
"[ 0.2815587   0.410019    0.4683543  -1.4560186  -0.8654509  -0.47750464
  0.          0.        ]",3
"[ 0.28608686  0.37693664  0.46830034 -1.4827167  -0.8893252  -0.4774859
  0.          0.        ]",0
"[ 0.29056796  0.34336168  0.46152788 -1.5034709  -0.9106082  -0.42565975
  0.          0.        ]",1
"[ 0.29500476  0.30929828  0.45513195 -1.523941   -0.92925507 -0.37293777
  0.          0.        ]",1
"[ 0.29986495  0.2748833   0.49686113 -1.5394007  -0.947343   -0.361759
  0.          0.        ]",2
"[ 0.3046709   0.23997325  0.48961854 -1.5600387  -0.9627351  -0.30784196
  0.          0.        ]",1
"[ 0.30947876  0.20446509  0.48959428 -1.5867169  -0.97812694 -0.30783695
  0.          0.        ]",0
"[ 0.3146535   0.16885251  0.52627194 -1.5916208  -0.9938382  -0.31422323
  0.          0.        ]",2
"[ 0.31988534  0.13252774  0.53334564 -1.6250246  -1.0124524  -0.37228468
  0.          0.        ]",3
"[ 0.3251198   0.09560552  0.53330886 -1.6517066  -1.0310661  -0.3722758
  0.          0.        ]",0
"[ 0.33061457  0.05848948  0.559266   -1.6607077  -1.050135   -0.38137975
  0.          0.        ]",2
"[ 0.33614826  0.02066468  0.56411713 -1.6938719  -1.0718138  -0.4335753
  0.          0.        ]",3
"[ 0.34168568 -0.01775711  0.5640656  -1.7205577  -1.0934919  -0.43356138
  1.          0.        ]",0
"[ 0.34901133 -0.04261689  0.7442674  -1.121558   -1.1356032  -0.8609392
  1.          0.        ]",3
"[ 0.3570981  -0.06835248  0.81508654 -1.1531854  -1.1508702  -0.30534115
  1.          0.        ]",3
"[ 0.3657996  -0.09179212  1.1828264  -0.33496645 -1.1548187   0.32493716
  1.          0.        ]",0
"[ 0.00431585  1.3916073   0.21995652 -0.4078248  -0.00472783 -0.04512242
  0.          0.        ]",2
"[ 0.00649261  1.3818303   0.21996358 -0.43453875 -0.00698227 -0.04509301
  0.          0.        ]",0
"[ 0.00860214  1.3714534   0.21151075 -0.46120036 -0.00753993 -0.01115433
  0.          0.        ]",1
"[ 0.01071167  1.3604764   0.21151166 -0.48786852 -0.00809827 -0.01116753
  0.          0.        ]",0
"[ 1.2937164e-02  1.3502921e+00  2.2259085e-01 -4.5263010e-01
 -8.1372550e-03 -7.8015297e-04  0.0000000e+00  0.0000000e+00]",2
"[ 1.5162563e-02  1.3395076e+00  2.2259073e-01 -4.7930992e-01
 -8.1766238e-03 -7.8741612e-04  0.0000000e+00  0.0000000e+00]",0
"[ 0.01752882  1.3292814   0.23601325 -0.45449334 -0.00757533  0.01202727
  0.          0.        ]",2
"[ 0.01997032  1.3184566   0.24545947 -0.48110804 -0.00886851 -0.02586625
  0.          0.        ]",3
"[ 0.02233019  1.30703     0.23521411 -0.50784636 -0.00810604  0.0152506
  0.          0.        ]",1
"[ 0.02469006  1.2950034   0.23521085 -0.5345143  -0.00734498  0.0152225
  0.          0.        ]",0
"[ 0.02696104  1.2823765   0.22407398 -0.5611781  -0.0043517   0.05987099
  0.          0.        ]",1
"[ 0.02923193  1.2691499   0.2240644  -0.58784705 -0.00135984  0.05984293
  0.          0.        ]",0
"[ 0.03150263  1.2553233   0.22405522 -0.6145162   0.00163209  0.05984365
  0.          0.        ]",0
"[ 0.03380709  1.241491    0.22726488 -0.6147751   0.00478609  0.06308563
  0.          0.        ]",2
"[ 0.03620329  1.2270507   0.23876531 -0.6417931   0.00563362  0.01695192
  0.          0.        ]",3
"[ 0.03846645  1.2128593   0.22606485 -0.630737    0.00587198  0.00476763
  0.          0.        ]",2
"[ 0.04060154  1.1995566   0.2138553  -0.59122825  0.00553864 -0.00666751
  0.          0.        ]",2
"[ 0.04264412  1.1856478   0.20223372 -0.61817956  0.00753498  0.03993053
  0.          0.        ]",1
"[ 0.0446866   1.1711391   0.20222703 -0.64484245  0.0095298   0.03989988
  0.          0.        ]",0
"[ 0.04663716  1.1560185   0.1907013  -0.672063    0.01383473  0.08610618
  0.          0.        ]",1
"[ 0.04858751  1.140298    0.19068858 -0.6987331   0.01813806  0.08607443
  0.          0.        ]",0
"[ 0.05053778  1.1239778   0.19067635 -0.7254035   0.02244124  0.08607135
  0.          0.        ]",0
"[ 0.05240898  1.1070509   0.18077222 -0.75241786  0.02872773  0.12574089
  0.          0.        ]",1
"[ 0.05438051  1.0909715   0.1901876  -0.7147947   0.03560615  0.1375809
  0.          0.        ]",2
"[ 0.05635233  1.074271    0.1902183  -0.74242646  0.04248426  0.13756217
  0.          0.        ]",0
"[ 0.05839348  1.0569689   0.198914   -0.7691342   0.04762312  0.1027774
  0.          0.        ]",3
"[ 0.06043463  1.0390673   0.19891416 -0.79580307  0.05276199  0.10277736
  0.          0.        ]",0
"[ 0.06240959  1.0211375   0.19250453 -0.79706365  0.05768791  0.09851842
  0.          0.        ]",2
"[ 0.06428967  1.0026006   0.18061492 -0.82416445  0.06500036  0.14624925
  0.          0.        ]",1
"[ 0.06623068  0.98347837  0.18826966 -0.85014415  0.07076611  0.1153152
  0.          0.        ]",3
"[ 0.06807642  0.96375674  0.17633143 -0.87691957  0.07891949  0.16306795
  0.          0.        ]",1
"[ 0.06999435  0.94485813  0.1828725  -0.8404335   0.08775218  0.17665367
  0.          0.        ]",2
"[ 0.07200213  0.925384    0.1941916  -0.8659252   0.09428767  0.13070968
  0.          0.        ]",3
"[ 0.07393637  0.90530676  0.18496823 -0.8928749   0.10267203  0.16768737
  0.          0.        ]",1
"[ 0.0756463   0.88594407  0.16317545 -0.86112064  0.1104406   0.15537125
  0.          0.        ]",2
"[ 0.0774354   0.86599606  0.17310992 -0.8870191   0.11619967  0.11518151
  0.          0.        ]",3
"[ 0.07922439  0.84544843  0.1731104  -0.9136885   0.12195873  0.11518128
  0.          0.        ]",0
"[ 0.08094063  0.8242852   0.16396435 -0.9412296   0.12957603  0.1523457
  0.          0.        ]",1
"[ 0.08272161  0.8025295   0.17208731 -0.96744883  0.13555834  0.11964618
  0.          0.        ]",3
"[ 0.08457766  0.7801892   0.18152346 -0.9932846   0.13962579  0.08134888
  0.          0.        ]",3
"[ 0.08650742  0.7572579   0.19076611 -1.0193772   0.14183013  0.04408687
  0.          0.        ]",3
"[ 0.08850899  0.73373884  0.19977964 -1.0453315   0.1422095   0.00758718
  0.          0.        ]",3
"[ 0.09043989  0.7096015   0.19088939 -1.0729775   0.14440379  0.04388564
  0.          0.        ]",1
"[ 0.09231053  0.68484634  0.18331435 -1.1005998   0.14815131  0.07495033
  0.          0.        ]",1
"[ 0.09418125  0.6594914   0.1833146  -1.1272677   0.15189883  0.07495025
  0.          0.        ]",0
"[ 0.0961319   0.63355064  0.19334714 -1.1530988   0.15361255  0.03427458
  0.          0.        ]",3
"[ 0.09800939  0.6070015   0.18419634 -1.1803309   0.15716988  0.07114629
  0.          0.        ]",1
"[ 0.09980936  0.57984173  0.17447194 -1.2076946   0.16269173  0.1104373
  0.          0.        ]",1
"[ 0.10152273  0.5520645   0.16359985 -1.2354085   0.17042615  0.15468854
  0.          0.        ]",1
"[ 0.10330153  0.5237106   0.17186843 -1.2608755   0.17645156  0.12050853
  0.          0.        ]",3
"[ 0.10508032  0.4947572   0.17186922 -1.2875448   0.18247697  0.12050818
  0.          0.        ]",0
"[ 0.10681982  0.46586746  0.167759   -1.2847635   0.18869543  0.12436906
  0.          0.        ]",2
"[ 0.10856199  0.43701434  0.1676589  -1.2832104   0.19529463  0.13198397
  0.          0.        ]",2
"[ 0.11024494  0.40753406  0.16016963 -1.3113238   0.20347132  0.16353406
  0.          0.        ]",1
"[ 0.11202402  0.37747538  0.17224795 -1.336733    0.20918308  0.11423518
  0.          0.        ]",3
"[ 0.11388292  0.34684977  0.18231964 -1.3616463   0.21278402  0.07201909
  0.          0.        ]",3
"[ 0.11565761  0.3169731   0.1734058  -1.3284415   0.21688293  0.08197823
  0.          0.        ]",2
"[ 0.1174982   0.28652945  0.18175627 -1.3533919   0.21920888  0.04651934
  0.          0.        ]",3
"[ 0.11939993  0.25550845  0.18945701 -1.378816    0.21992742  0.0143708
  0.          0.        ]",3
"[ 0.12136545  0.22391182  0.19751671 -1.4041536   0.21896115 -0.01932559
  0.          0.        ]",3
"[ 0.12319517  0.19281386  0.18380159 -1.3820087   0.21811731 -0.01687688
  0.          0.        ]",2
"[ 0.12488671  0.1621075   0.16995624 -1.3646084   0.21731192 -0.01610785
  0.          0.        ]",2
"[ 0.12649432  0.1321307   0.1610575  -1.3322604   0.21701145 -0.00600907
  0.          0.        ]",2
"[ 0.12818289  0.10158049  0.17124288 -1.3574388   0.21459797 -0.04826951
  0.          0.        ]",3
"[ 0.12952289  0.07185253  0.13702758 -1.3208084   0.21154378 -0.06108345
  0.          0.        ]",2
"[ 0.13077116  0.04148556  0.12544371 -1.3495555   0.21092296 -0.01241649
  0.          0.        ]",1
"[ 0.13209295  0.0105461   0.13470784 -1.3747264   0.20836957 -0.05106781
  0.          1.        ]",3
"[ 0.13358632 -0.01986289  0.17509785 -1.3480407   0.18632302 -0.43602484
  0.          1.        ]",3
"[ 0.13384418 -0.04227711  0.24606916 -0.8279936  -0.00525743 -5.0704756
  1.          1.        ]",3
"[ 0.00888987  1.4081504   0.4450354  -0.07426505 -0.00872138 -0.07085487
  0.          0.        ]",1
"[ 0.01330442  1.4058801   0.44504628 -0.10092928 -0.01226171 -0.07081332
  0.          0.        ]",0
"[ 0.01759081  1.4042046   0.43287888 -0.07449939 -0.01646388 -0.08405069
  0.          0.        ]",2
"[ 0.02195787  1.4030688   0.44061765 -0.05053319 -0.02033861 -0.07750193
  0.          0.        ]",2
"[ 0.02632494  1.4013329   0.4406286  -0.07720704 -0.02421325 -0.07749984
  0.          0.        ]",0
"[ 0.03076296  1.3990028   0.4495123  -0.10366515 -0.02986376 -0.11302046
  0.          0.        ]",3
"[ 0.03520117  1.3960731   0.44953004 -0.13033594 -0.03551262 -0.11298724
  0.          0.        ]",0
"[ 0.03957729  1.3925421   0.4417286  -0.15703465 -0.0395949  -0.08165319
  0.          0.        ]",1
"[ 0.04395352  1.3884114   0.44173917 -0.18370445 -0.04367723 -0.08165415
  0.          0.        ]",0
"[ 0.04826631  1.383697    0.43378353 -0.20960696 -0.0461501  -0.04946131
  0.          0.        ]",1
"[ 0.05267115  1.3783712   0.44531512 -0.23686394 -0.05094128 -0.09583247
  0.          0.        ]",3
"[ 0.05727968  1.3730667   0.4648199  -0.23589511 -0.05486875 -0.07855667
  0.          0.        ]",2
"[ 0.06181555  1.3671721   0.45570764 -0.26205742 -0.05696045 -0.04183755
  0.          0.        ]",1
"[ 0.06628809  1.3606732   0.4477559  -0.2888628  -0.05746323 -0.01005655
  0.          0.        ]",1
"[ 0.07082863  1.353557    0.456316   -0.31636715 -0.05969695 -0.04467835
  0.          0.        ]",3
"[ 0.07530107  1.3458381   0.4477718  -0.34308013 -0.06021971 -0.01045629
  0.          0.        ]",1
"[ 0.07995243  1.3382366   0.464958   -0.33783764 -0.06004064  0.0035815
  0.          0.        ]",2
"[ 0.08448334  1.3312606   0.4537148  -0.3100714  -0.06065328 -0.01225419
  0.          0.        ]",2
"[ 0.08887243  1.3242283   0.44030476 -0.3126028  -0.0620288  -0.02751301
  0.          0.        ]",2
"[ 0.09326162  1.316596    0.4403089  -0.33927128 -0.06340379 -0.02750237
  0.          0.        ]",0
"[ 0.09758548  1.3083636   0.43211812 -0.3658733  -0.06313893  0.00529763
  0.          0.        ]",1
"[ 0.10199957  1.2995118   0.4434622  -0.39349777 -0.065166   -0.04054515
  0.          0.        ]",3
"[ 0.10657787  1.2915446   0.4594038  -0.35417002 -0.0667301  -0.03128499
  0.          0.        ]",2
"[ 0.11124869  1.2829727   0.47100616 -0.38115427 -0.07062066 -0.0778179
  0.          0.        ]",3
"[ 0.11582728  1.2737782   0.4594807  -0.40872687 -0.0722253  -0.03209247
  0.          0.        ]",1
"[ 0.12040587  1.2639835   0.45948067 -0.43539378 -0.0738299  -0.03209237
  0.          0.        ]",0
"[ 0.12498446  1.2535889   0.4594806  -0.46206066 -0.07543452 -0.03209231
  0.          0.        ]",0
"[ 0.12956305  1.2425945   0.45948058 -0.48872757 -0.07703914 -0.0320922
  0.          0.        ]",0
"[ 0.13420877  1.2309979   0.4678902  -0.51557434 -0.08032814 -0.06577967
  0.          0.        ]",3
"[ 0.13894138  1.2187858   0.47879714 -0.54307485 -0.08581968 -0.10983077
  0.          0.        ]",3
"[ 0.14375791  1.2059749   0.48930782 -0.56982875 -0.0934111  -0.15182826
  0.          0.        ]",3
"[ 0.14857444  1.192565    0.48930722 -0.5965002  -0.10100248 -0.15182748
  0.          0.        ]",0
"[ 0.15348415  1.1785306   0.5010096  -0.62445736 -0.11097468 -0.1994441
  0.          0.        ]",3
"[ 0.15846005  1.1638919   0.50930154 -0.6515218  -0.12261371 -0.2327805
  0.          0.        ]",3
"[ 0.16343603  1.148655    0.5092996  -0.67819965 -0.13425262 -0.23277836
  0.          0.        ]",0
"[ 0.16833334  1.1328473   0.49935523 -0.7034611  -0.1438465  -0.1918776
  0.          0.        ]",1
"[ 0.17323074  1.116441    0.4993536  -0.7301353  -0.15344031 -0.19187635
  0.          0.        ]",0
"[ 0.17812833  1.0994356   0.4993519  -0.7568096  -0.16303407 -0.19187512
  0.          0.        ]",0
"[ 0.18311863  1.0833455   0.50894773 -0.71623814 -0.17296185 -0.19855587
  0.          0.        ]",2
"[ 0.1880393   1.0666766   0.5001612  -0.74180436 -0.18108451 -0.16245298
  0.          0.        ]",1
"[ 0.19296007  1.0494084   0.5001597  -0.7684764  -0.18920714 -0.16245227
  0.          0.        ]",0
"[ 0.19788083  1.0315413   0.5001582  -0.7951485  -0.1973297  -0.16245152
  0.          0.        ]",0
"[ 0.2028017   1.0130752   0.5001565  -0.8218205  -0.20545223 -0.16245076
  0.          0.        ]",0
"[ 0.20778465  0.9939813   0.5079747  -0.8499975  -0.215224   -0.19543561
  0.          0.        ]",3
"[ 0.2127678   0.97428846  0.5079721  -0.87667197 -0.22499572 -0.19543433
  0.          0.        ]",0
"[ 0.21783209  0.95396775  0.51816326 -0.90498155 -0.23689523 -0.23799066
  0.          0.        ]",3
"[ 0.22297058  0.93302566  0.5274396  -0.9330047  -0.2507205  -0.27650517
  0.          0.        ]",3
"[ 0.22802182  0.9115171   0.5164161  -0.9579067  -0.26224127 -0.23041546
  0.          0.        ]",1
"[ 0.23320618  0.89053816  0.5299965  -0.9344986  -0.27406976 -0.23656961
  0.          0.        ]",2
"[ 0.23846379  0.8695145   0.5374053  -0.9366141  -0.2860354  -0.23931265
  0.          0.        ]",2
"[ 0.24363557  0.84792966  0.52654994 -0.9611936  -0.29569253 -0.1931428
  0.          0.        ]",1
"[ 0.24873495  0.8257808   0.5173892  -0.98592633 -0.3033815  -0.15377936
  0.          0.        ]",1
"[ 0.25376597  0.80306983  0.5087036  -1.0105577  -0.30918047 -0.11597952
  0.          0.        ]",1
"[ 0.25879708  0.7797592   0.50870234 -1.0372269  -0.31497946 -0.11597923
  0.          0.        ]",0
"[ 0.2641241   0.75712436  0.5382067  -1.0071994  -0.32069477 -0.11430633
  0.          0.        ]",2
"[ 0.26938096  0.7339231   0.5293355  -1.031982   -0.32449967 -0.07609768
  0.          0.        ]",1
"[ 0.2746378   0.7101219   0.5293349  -1.0586498  -0.32830456 -0.0760976
  0.          0.        ]",0
"[ 0.27989474  0.685721    0.5293343  -1.0853176  -0.33210945 -0.07609758
  0.          0.        ]",0
"[ 0.28547668  0.6621284   0.56184274 -1.0494028  -0.3359073  -0.07595742
  0.          0.        ]",2
"[ 0.2913971   0.6388919   0.59518874 -1.033467   -0.33919895 -0.06583242
  0.          0.        ]",2
"[ 0.2973176   0.61505556  0.59518826 -1.0601346  -0.34249055 -0.06583241
  0.          0.        ]",0
"[ 0.30333957  0.59167194  0.60595673 -1.0401728  -0.3464293  -0.07877465
  0.          0.        ]",2
"[ 0.30936164  0.56768847  0.60595614 -1.0668406  -0.35036802 -0.07877454
  0.          0.        ]",0
"[ 0.31538373  0.5431052   0.6059555  -1.0935085  -0.35430676 -0.07877447
  0.          0.        ]",0
"[ 0.3213191   0.5179659   0.5950186  -1.1176693  -0.3558629  -0.03112259
  0.          0.        ]",1
"[ 0.32733613  0.4921764   0.60535955 -1.1471123  -0.35972577 -0.077258
  0.          0.        ]",3
"[ 0.33359137  0.46622932  0.6286639  -1.1539959  -0.36303666 -0.06621866
  0.          0.        ]",2
"[ 0.33991757  0.43965125  0.637563   -1.182507   -0.36826083 -0.10448349
  0.          0.        ]",3
"[ 0.34624377  0.41247356  0.63756174 -1.2091758  -0.373485   -0.10448327
  0.          0.        ]",0
"[ 0.35263604  0.38464773  0.64596605 -1.2384802  -0.38064003 -0.14310038
  0.          0.        ]",3
"[ 0.35902843  0.35622248  0.6459636  -1.2651507  -0.38779503 -0.14310005
  0.          0.        ]",0
"[ 0.36534318  0.32725254  0.6360558  -1.2888074  -0.39268282 -0.09775551
  0.          0.        ]",1
"[ 0.37204495  0.29879057  0.67441976 -1.2661577  -0.3972235  -0.09081347
  0.          0.        ]",2
"[ 0.37882346  0.26967776  0.6841601  -1.2956815  -0.40398058 -0.1351414
  0.          0.        ]",3
"[ 0.38566056  0.23991539  0.69165933 -1.3250619  -0.41252187 -0.17082572
  0.          0.        ]",3
"[ 0.39255792  0.20951536  0.699247   -1.3539196  -0.42278686 -0.20529993
  0.          0.        ]",3
"[ 0.39975843  0.17907794  0.72899735 -1.3554878  -0.43248436 -0.19394924
  0.          0.        ]",2
"[ 0.40695924  0.14804164  0.72899246 -1.3821617  -0.44218174 -0.19394802
  0.          0.        ]",0
"[ 0.41416043  0.11640652  0.7289875  -1.4088353  -0.45187905 -0.19394672
  0.          0.        ]",0
"[ 0.42136192  0.08417252  0.72898245 -1.4355092  -0.46157628 -0.1939454
  0.          0.        ]",0
"[ 0.42861852  0.05129622  0.7359332  -1.4646189  -0.47293067 -0.22708793
  0.          0.        ]",3
"[ 0.43625394  0.01900986  0.7738512  -1.438513   -0.48439583 -0.22930393
  1.          0.        ]",2
"[ 4.3920365e-01  4.6102761e-04  3.1407291e-01 -8.3277714e-01
 -5.1536399e-01 -6.2999833e-01  1.0000000e+00  0.0000000e+00]",1
"[ 0.44303864 -0.01815998  0.37862003 -0.83515745 -0.5138618  -0.10923734
  1.          0.        ]",3
"[ 0.44268647 -0.01819982 -0.06013728 -0.03945002 -0.45495752  0.77273107
  1.          0.        ]",3
"[-0.00432739  1.411055   -0.22395246 -0.00986253  0.00660035  0.08252823
  0.          0.        ]",1
